iter	RMSE
0	14.08662388
1	13.1796009
2	12.37507288
3	11.64850854
4	11.04016993
5	10.45042485
6	9.863337319
7	9.373045109
8	8.939352341
9	8.594927128
10	8.276616874
11	8.006322806
12	7.705525313
13	7.459272842
14	7.192693725
15	6.991288152
16	6.827781573
17	6.629365217
18	6.474422496
19	6.359225641
20	6.231826308
21	6.150815745
22	6.051811735
23	5.960706858
24	5.891214362
25	5.821482144
26	5.758112707
27	5.710051398
28	5.666887612
29	5.602190746
30	5.558776962
31	5.520839854
32	5.482613148
33	5.444830235
34	5.402753548
35	5.368031419
36	5.342589389
37	5.314934222
38	5.291017366
39	5.265032915
40	5.238477701
41	5.216213595
42	5.188045673
43	5.172545526
44	5.160217087
45	5.154680783
46	5.139048916
47	5.123127865
48	5.105947026
49	5.078849867
50	5.072317035
51	5.056619783
52	5.037340683
53	5.019357439
54	5.010506361
55	4.997782945
56	4.990164317
57	4.978652555
58	4.973689961
59	4.95750224
60	4.940307532
61	4.927873085
62	4.918335546
63	4.906372702
64	4.88796305
65	4.873717872
66	4.856801375
67	4.842401253
68	4.828661963
69	4.81081031
70	4.803345242
71	4.795182056
72	4.777599191
73	4.768972941
74	4.757473093
75	4.746066835
76	4.737653107
77	4.72349198
78	4.716594186
79	4.703670155
80	4.68996858
81	4.67989579
82	4.669217278
83	4.661060578
84	4.648242312
85	4.63884969
86	4.631459263
87	4.617348986
88	4.60816352
89	4.596468235
90	4.584763125
91	4.565524141
92	4.55573438
93	4.544923859
94	4.534206203
95	4.513004383
96	4.510889608
97	4.504422946
98	4.499201438
99	4.486101908
