iter	Passed	Remaining
0	3	389
1	6	324
2	8	286
3	10	254
4	16	307
5	19	301
6	21	282
7	23	271
8	26	270
9	30	277
10	32	265
11	35	261
12	37	251
13	41	256
14	43	247
15	45	239
16	47	232
17	54	246
18	56	240
19	59	236
20	61	230
21	63	226
22	65	220
23	67	215
24	70	210
25	72	205
26	74	200
27	76	196
28	79	195
29	82	192
30	84	187
31	86	183
32	88	179
33	90	176
34	92	172
35	94	168
36	96	165
37	99	162
38	101	158
39	103	155
40	105	152
41	106	147
42	108	143
43	110	140
44	112	137
45	115	135
46	117	132
47	119	129
48	121	126
49	123	123
50	125	120
51	126	117
52	129	114
53	130	111
54	132	108
55	134	105
56	136	103
57	138	100
58	140	97
59	142	94
60	144	92
61	146	89
62	148	86
63	149	84
64	151	81
65	153	79
66	155	76
67	156	73
68	160	72
69	161	69
70	164	67
71	166	64
72	168	62
73	170	59
74	171	57
75	173	54
76	175	52
77	177	50
78	179	47
79	182	45
80	184	43
81	186	40
82	188	38
83	190	36
84	191	33
85	194	31
86	195	29
87	197	26
88	199	24
89	201	22
90	202	20
91	204	17
92	206	15
93	208	13
94	210	11
95	211	8
96	213	6
97	215	4
98	217	2
99	218	0
