iter	RMSE
0	14.60752479
1	14.20461123
2	13.87309169
3	13.54098501
4	13.23644889
5	12.89338179
6	12.56747569
7	12.25065352
8	11.96391786
9	11.6908447
10	11.41777926
11	11.20203598
12	10.97253717
13	10.73164989
14	10.49378959
15	10.27852036
16	10.08153818
17	9.893515499
18	9.706657491
19	9.535059335
20	9.353813661
21	9.221852304
22	9.05180115
23	8.883709006
24	8.724076311
25	8.576286519
26	8.431840743
27	8.312325998
28	8.203217898
29	8.081843469
30	7.982450325
31	7.864300964
32	7.747964654
33	7.651492502
34	7.542241241
35	7.447190353
36	7.355750567
37	7.285354375
38	7.200931219
39	7.122716169
40	7.047094187
41	6.97802963
42	6.902269874
43	6.835703843
44	6.772734657
45	6.701802806
46	6.646749895
47	6.597924927
48	6.553153357
49	6.499553406
50	6.447820733
51	6.404048335
52	6.354094279
53	6.300683164
54	6.255778084
55	6.21186513
56	6.172822958
57	6.130946147
58	6.096307517
59	6.065948103
60	6.031080532
61	5.992328789
62	5.958860449
63	5.927463378
64	5.898068438
65	5.868517895
66	5.841740423
67	5.816369373
68	5.790691746
69	5.759283711
70	5.742459599
71	5.716371722
72	5.692913885
73	5.673827027
74	5.655219411
75	5.636283721
76	5.613478679
77	5.590868022
78	5.577083591
79	5.560963932
80	5.543980527
81	5.530133955
82	5.514163575
83	5.49622389
84	5.480139469
85	5.463391807
86	5.452048803
87	5.434892255
88	5.423657796
89	5.409049095
90	5.396184896
91	5.382661888
92	5.367628459
93	5.358682648
94	5.344238525
95	5.335468432
96	5.324326982
97	5.307987826
98	5.300363507
99	5.287890047
100	5.275765897
101	5.264964884
102	5.255122742
103	5.245713956
104	5.235451527
105	5.225107125
106	5.21980974
107	5.213040979
108	5.202103063
109	5.193893013
110	5.185206987
111	5.176762876
112	5.174625515
113	5.164019489
114	5.158957958
115	5.151361247
116	5.140770696
117	5.134812131
118	5.131693458
119	5.125923016
120	5.120368875
121	5.115156081
122	5.110835508
123	5.103819727
124	5.097108952
125	5.092504993
126	5.085200881
127	5.079517743
128	5.072469351
129	5.063532145
130	5.057771085
131	5.054603348
132	5.049441842
133	5.04395257
134	5.040521702
135	5.031648755
136	5.019227763
137	5.016091533
138	5.00419009
139	4.999985844
140	4.995053253
141	4.987693688
142	4.980596835
143	4.975242905
144	4.970467861
145	4.966619349
146	4.962240473
147	4.953874104
148	4.948442617
149	4.942788315
150	4.939125371
151	4.93599615
152	4.93300666
153	4.927469122
154	4.923922932
155	4.920500876
156	4.915218991
157	4.911889767
158	4.904959479
159	4.901528521
160	4.893770553
161	4.888399156
162	4.882564279
163	4.877859906
164	4.869864473
165	4.86497615
166	4.861276926
167	4.85838173
168	4.851178768
169	4.842767384
170	4.837953287
171	4.833134736
172	4.826724941
173	4.822441464
174	4.817037912
175	4.812552761
176	4.808250704
177	4.803855294
178	4.799449392
179	4.795059559
180	4.788667031
181	4.784033615
182	4.780715897
183	4.773108885
184	4.769611534
185	4.762928978
186	4.754699976
187	4.747908776
188	4.743963114
189	4.737706984
190	4.732664429
191	4.726958285
192	4.722492732
193	4.717859756
194	4.714016309
195	4.709462093
196	4.704001893
197	4.698493004
198	4.693654461
199	4.691515023
200	4.689207532
201	4.686595524
202	4.683470671
203	4.682257241
204	4.680017758
205	4.675622118
206	4.66954124
207	4.666514847
208	4.6606973
209	4.654366509
210	4.650874993
211	4.645584026
212	4.642599279
213	4.638862469
214	4.633082961
215	4.62914428
216	4.623340595
217	4.618804863
218	4.614740097
219	4.610365877
220	4.606707557
221	4.600875209
222	4.596446242
223	4.591087743
224	4.588212109
225	4.582435865
226	4.579077028
227	4.57537766
228	4.570387714
229	4.56150252
230	4.556361728
231	4.554457196
232	4.550175741
233	4.548813228
234	4.540118185
235	4.537074313
236	4.532184825
237	4.528724504
238	4.526936616
239	4.52160665
240	4.519436778
241	4.515636038
242	4.508513765
243	4.504465175
244	4.501025966
245	4.496519367
246	4.492093333
247	4.4878281
248	4.482241066
249	4.478428967
250	4.475946614
251	4.475146559
252	4.474832979
253	4.472539537
254	4.471772659
255	4.467116859
256	4.462833176
257	4.460933459
258	4.45380392
259	4.448511367
260	4.446339839
261	4.443561838
262	4.441336938
263	4.438391685
264	4.432340892
265	4.427196399
266	4.422621201
267	4.420614578
268	4.413007759
269	4.411347831
270	4.40538696
271	4.402179213
272	4.399757904
273	4.392608307
274	4.390159265
275	4.383913874
276	4.379406545
277	4.379147242
278	4.375839254
279	4.371290734
280	4.368260267
281	4.365930211
282	4.363377728
283	4.359689651
284	4.359449693
285	4.357930139
286	4.350872965
287	4.347605025
288	4.342563556
289	4.339117206
290	4.336136011
291	4.330646939
292	4.328753029
