iter	Passed	Remaining
0	161	161682
1	163	81562
2	165	54896
3	166	41495
4	168	33439
5	169	28086
6	171	24276
7	172	21393
8	173	19141
9	175	17330
10	176	15856
11	177	14627
12	179	13609
13	180	12723
14	181	11942
15	183	11257
16	184	10651
17	185	10102
18	186	9608
19	186	9162
20	187	8758
21	188	8393
22	189	8048
23	190	7731
24	190	7440
25	191	7170
26	192	6920
27	192	6691
28	193	6477
29	194	6275
30	194	6083
31	196	5938
32	197	5781
33	198	5627
34	198	5485
35	199	5350
36	200	5223
37	201	5102
38	202	4987
39	203	4877
40	204	4772
41	204	4672
42	205	4577
43	206	4487
44	207	4400
45	208	4316
46	209	4244
47	210	4172
48	211	4103
49	212	4034
50	213	3967
51	214	3902
52	214	3840
53	215	3781
54	216	3723
55	217	3667
56	218	3612
57	219	3560
58	220	3509
59	220	3461
60	221	3413
61	222	3367
62	223	3324
63	224	3286
64	225	3248
65	226	3210
66	227	3172
67	228	3133
68	229	3095
69	230	3059
70	231	3024
71	232	2990
72	232	2957
73	233	2924
74	234	2892
75	235	2861
76	236	2830
77	236	2801
78	237	2772
79	238	2745
80	239	2718
81	240	2695
82	241	2665
83	242	2641
84	243	2616
85	243	2591
86	244	2568
87	245	2545
88	246	2522
89	247	2499
90	248	2478
91	248	2456
92	249	2435
93	250	2415
94	251	2395
95	252	2375
96	253	2355
97	254	2338
98	255	2322
99	256	2307
100	257	2291
101	258	2276
102	259	2260
103	260	2244
104	261	2228
105	262	2211
106	263	2195
107	263	2180
108	264	2164
109	265	2149
110	266	2134
111	267	2119
112	268	2105
113	269	2091
114	270	2080
115	271	2069
116	272	2055
117	273	2042
118	274	2029
119	274	2016
120	275	2004
121	276	1989
122	277	1977
123	278	1965
124	278	1952
125	279	1941
126	280	1928
127	281	1916
128	282	1905
129	283	1894
130	284	1885
131	285	1876
132	286	1867
133	287	1857
134	288	1846
135	289	1836
136	289	1826
137	290	1816
138	291	1806
139	292	1796
140	293	1786
141	293	1775
142	294	1766
143	295	1756
144	296	1747
145	297	1738
146	298	1729
147	298	1720
148	300	1714
149	301	1708
150	303	1706
151	304	1699
152	305	1691
153	306	1683
154	307	1674
